Erythroid,T,B,GMP,Myeloid
0.09534869,0.3312836,0.2732679,0.2389485,0.061151326
0.18232282,0.071850106,0.2802363,0.18728314,0.27830765
0.18431418,0.32787696,0.327304,0.066349514,0.09415535
0.3055446,0.1460429,0.19539516,0.14735469,0.20566264
0.24644329,0.05436271,0.10434,0.32302523,0.27182874
0.35144773,0.22175707,0.11682316,0.16233471,0.14763734
0.15907541,0.3073953,0.2619826,0.20543353,0.0661132
0.37194103,0.1499228,0.12055309,0.054078776,0.30350423
0.16417505,0.09118489,0.080548435,0.3126695,0.35142207
0.17931762,0.23973344,0.19998327,0.16213809,0.21882756
0.2613558,0.109602295,0.16705984,0.15707019,0.30491188
0.12283747,0.23330922,0.1983931,0.1641097,0.28135046
0.19249919,0.06745626,0.21200165,0.24716853,0.28087434
0.35338405,0.21222761,0.25994423,0.13415156,0.040292483
0.15235439,0.24181665,0.3203651,0.10952436,0.17593955
0.18940423,0.28338456,0.138142,0.3018215,0.08724768
0.1940451,0.23445496,0.14848651,0.29809436,0.124919094
0.22916089,0.3328097,0.20087235,0.13011023,0.107046805
0.16263719,0.30237314,0.28202006,0.06206282,0.19090681
0.20925412,0.15085,0.21244276,0.17762561,0.24982756
0.2903841,0.07107958,0.23884979,0.06819342,0.33149314
0.20508902,0.12595753,0.20921376,0.33447087,0.12526885
0.242041,0.2811801,0.18858473,0.17896341,0.109230764
0.29865947,0.07770993,0.35268602,0.16296546,0.107979126
0.24846625,0.2151537,0.33755207,0.048508625,0.15031935
0.17558075,0.28092974,0.1012164,0.29509336,0.14717975
0.12213438,0.10155544,0.21351865,0.33215255,0.23063903
0.17941663,0.20020838,0.21188596,0.14804442,0.2604446
0.37612367,0.27769992,0.11101871,0.042315256,0.19284238
0.13968143,0.24878395,0.21350013,0.14116465,0.25686982
0.27178332,0.081815444,0.28501648,0.043930907,0.31745383
0.36476094,0.06140711,0.19839744,0.10918942,0.26624513
0.26895803,0.16808146,0.21755727,0.13446958,0.21093358
0.16880022,0.108383864,0.23869419,0.2091304,0.27499127
0.23466565,0.16769113,0.041542254,0.24698669,0.30911422
0.20155957,0.29225037,0.30830222,0.026891481,0.17099634
0.2703009,0.08714864,0.12616232,0.29363534,0.22275281
0.16043402,0.35354128,0.17250168,0.21480238,0.09872059
0.11332155,0.333171,0.06550169,0.21446869,0.27353713
0.2355757,0.21184105,0.24806166,0.13007246,0.17444912
0.11541057,0.21407063,0.26263437,0.24465838,0.16322605
0.13340071,0.04884225,0.05579418,0.54778093,0.21418199
0.24553727,0.05581384,0.10621812,0.3494682,0.24296263
0.1335274,0.24644086,0.17853944,0.15510319,0.28638908
0.15717544,0.1368184,0.22008786,0.27864346,0.20727491
0.27076694,0.09382847,0.2423017,0.15025185,0.24285105
0.17144105,0.1718414,0.19920263,0.14728877,0.31022623
0.28615302,0.13028537,0.27632183,0.16653413,0.14070566
0.16857149,0.10803268,0.23827001,0.3249319,0.160194
0.05386917,0.3089859,0.12147577,0.48201996,0.03364922
0.29821175,0.17121154,0.2743013,0.06452882,0.1917466
0.34515983,0.099486016,0.07903373,0.36583018,0.110490255
0.30479184,0.18534066,0.33188775,0.069349445,0.108630255
0.23900165,0.27872884,0.26317167,0.093963936,0.1251339
0.1127466,0.17668879,0.26494667,0.16978176,0.27583614
0.26427802,0.14180951,0.26290986,0.22628514,0.10471743
0.28217074,0.094882496,0.15158452,0.2516256,0.21973664
0.25044963,0.1895355,0.25478655,0.057553254,0.24767506
0.069950804,0.26264545,0.19956888,0.37057042,0.097264454
0.13493338,0.16839945,0.1013522,0.42657876,0.16873622
0.13883565,0.26421034,0.33039233,0.23583183,0.030729825
0.216904,0.24998379,0.07974213,0.21503818,0.23833184
0.26386648,0.19128504,0.09497505,0.20887662,0.2409968
0.17066026,0.046058554,0.250457,0.29849637,0.23432782
0.21538705,0.14790839,0.16646329,0.34393752,0.1263037
0.13336302,0.1893562,0.18386333,0.14620249,0.34721497
0.167525,0.029880116,0.3373552,0.20432508,0.2609146
0.06256325,0.22253674,0.30683511,0.2303813,0.1776836
0.15269987,0.1891686,0.05998343,0.5495924,0.048555676
0.32957307,0.22198197,0.075357676,0.26796362,0.1051237
0.15753797,0.24972607,0.114873335,0.27546787,0.20239477
0.16033867,0.22714287,0.11659175,0.22904196,0.26688474
0.09254639,0.14160559,0.33672884,0.2876251,0.14149408
0.106755234,0.35407168,0.1608518,0.26475933,0.113561966
0.25883314,0.18452322,0.17704996,0.23010701,0.14948666
0.34089983,0.20966023,0.092562936,0.056838702,0.30003828
0.18493941,0.23179555,0.079928525,0.23150189,0.27183455
0.11848464,0.09243716,0.32461652,0.1717778,0.29268384
0.28368944,0.13292658,0.21726544,0.21133085,0.15478763
0.13861026,0.33028257,0.15418653,0.05201323,0.3249074
0.24694374,0.17832005,0.1852679,0.15461849,0.23484986
0.1054681,0.2559734,0.21995571,0.38297123,0.035631467
0.17400438,0.12892379,0.25687534,0.20397101,0.23622547
0.40150014,0.076125145,0.15504998,0.101830356,0.26549435
0.1641702,0.26728234,0.22674175,0.12297207,0.21883364
0.18014188,0.083303794,0.2072046,0.14335087,0.3859989
0.16386552,0.23605186,0.114145376,0.19893529,0.28700197
0.19558653,0.26451573,0.09480609,0.27251184,0.1725798
0.13681757,0.29724896,0.14162788,0.23184714,0.19245842
0.270179,0.0769542,0.059500232,0.36674806,0.22661857
0.24352728,0.09043899,0.055188593,0.4392417,0.1716034
0.37924623,0.082035795,0.10665335,0.23611566,0.1959489
0.2920434,0.08810476,0.28339383,0.23386441,0.10259359
0.20448925,0.05417741,0.4171449,0.053383343,0.27080512
0.23367438,0.17284763,0.29319128,0.107661754,0.19262496
0.3227877,0.15554784,0.35334787,0.050957486,0.11735911
0.29422402,0.2194576,0.20209514,0.12219019,0.162033
0.16684046,0.32807994,0.30455533,0.10953568,0.09098853
0.20148759,0.030908808,0.23062174,0.26187673,0.2751051
0.24037942,0.064442545,0.07912667,0.34347513,0.27257624
0.22614005,0.18902756,0.18390518,0.06431872,0.3366085
0.17881177,0.13064414,0.16355449,0.38592106,0.14106853
0.22538015,0.25662363,0.3622676,0.06570891,0.09001964
0.19075759,0.32125127,0.20230415,0.04456697,0.24111998
0.2745333,0.079080686,0.15633838,0.1990662,0.2909814
0.1775213,0.30526763,0.08600112,0.19453149,0.23667842
0.21866204,0.34614247,0.28444588,0.099944554,0.050805025
0.20182495,0.21976559,0.18367061,0.15020584,0.24453297
0.33118126,0.1813422,0.16274908,0.21550812,0.109219275
0.24256715,0.19468409,0.29612103,0.24552594,0.021101741
0.11355059,0.20166342,0.3375511,0.25985825,0.087376714
0.09727768,0.29892802,0.044884585,0.45301947,0.10589025
0.23951785,0.1738061,0.3702426,0.09973028,0.11670314
0.17116366,0.22302535,0.22382124,0.16023208,0.22175771
0.17176709,0.049902875,0.2745244,0.25388777,0.24991782
0.19789243,0.26370126,0.061957225,0.1477073,0.32874185
0.23728056,0.1405121,0.29300472,0.17452447,0.15467815
0.27139637,0.21322992,0.24336375,0.035008308,0.2370016
0.082433954,0.09566298,0.14724502,0.47354954,0.20110844
0.26877674,0.12502675,0.26826602,0.107619844,0.23031066
0.3255181,0.09263868,0.1874018,0.06375142,0.33068997
0.21745424,0.10508696,0.17888926,0.24316922,0.25540036
0.20480745,0.3086647,0.19995846,0.18101475,0.10555461
0.1219013,0.42378056,0.22739244,0.11406329,0.11286247
0.21479054,0.31773174,0.13509636,0.0988996,0.23348173
0.17343348,0.29510888,0.29290608,0.045423094,0.1931284
0.14292115,0.3408493,0.3133908,0.14326768,0.059571072
0.31889063,0.24099799,0.1764619,0.053056814,0.2105927
0.27505952,0.08627567,0.078379415,0.20540152,0.35488388
0.27219385,0.17124633,0.15613966,0.31255138,0.087868735
0.21969882,0.061737783,0.3327367,0.1001527,0.28567398
0.18051827,0.1725095,0.20420827,0.22777094,0.214993
0.1252451,0.22284777,0.33777383,0.19729115,0.116842136
