Luminal_Macrophages,Type 2 alveolar,Fibroblasts,Dendritic cells
0.25218508,0.2037845,0.20803282,0.33599767
0.051881723,0.2996862,0.2586484,0.3897837
0.3289166,0.18728702,0.029174471,0.45462185
0.20651141,0.34966666,0.3442406,0.09958132
0.31581336,0.2073766,0.30450466,0.17230532
0.4719392,0.048518304,0.104531504,0.37501097
0.30347863,0.06091446,0.43984532,0.19576155
0.06898287,0.063636005,0.7626345,0.104746625
0.2340312,0.29645553,0.19689223,0.27262104
0.3359969,0.26715696,0.19476892,0.20207721
0.38528296,0.14940971,0.19787228,0.26743504
0.040272042,0.47147334,0.14664517,0.34160945
0.6549527,0.11930359,0.08748751,0.1382562
0.3247867,0.27269337,0.19988352,0.20263647
0.2043645,0.050895326,0.38196567,0.36277452
0.29707816,0.2147026,0.14257096,0.34564832
0.33283406,0.20283474,0.19625619,0.268075
0.3602352,0.19963999,0.256215,0.18390977
0.32171303,0.35757756,0.049952567,0.27075687
0.32341984,0.02373667,0.19903448,0.45380908
0.28098097,0.2051102,0.103582464,0.41032633
0.1737628,0.41213113,0.15926342,0.25484255
0.2071758,0.18141304,0.2379116,0.3734995
0.20453525,0.10870551,0.39325893,0.2935003
0.38148388,0.058952194,0.06235946,0.4972045
0.23178406,0.24767196,0.25641558,0.2641284
0.30071852,0.058480714,0.29663777,0.34416303
0.54324365,0.23063603,0.05445963,0.17166069
0.3042861,0.20555721,0.20650442,0.28365222
0.1655125,0.14926822,0.5597128,0.12550643
0.27221233,0.051589083,0.4164586,0.25974002
0.30157793,0.4149791,0.058864713,0.22457822
0.33896238,0.18947761,0.15392004,0.31763998
0.040869348,0.44851196,0.20383391,0.30678472
0.4625918,0.3008089,0.023461813,0.21313748
0.44448623,0.19849093,0.19633307,0.1606898
0.43608564,0.05968189,0.14563416,0.3585983
0.3428621,0.15929744,0.10788304,0.38995734
0.379994,0.3791251,0.14874542,0.092135526
0.23929578,0.4195005,0.24951456,0.0916891
0.22235836,0.045744374,0.34995615,0.3819411
0.37127924,0.1420762,0.095408745,0.39123583
0.26313448,0.27926764,0.24958476,0.2080131
0.034677193,0.3928724,0.14712955,0.42532083
